accuracy,model
0.9037575080318481,Single model
0.9004050845090097,Single model
0.8990082413744936,Single model
0.8952367649113004,Single model
0.8994272943148485,Single model
0.8698142198631094,Composed model
0.8654840061461098,Composed model
0.8611537924291102,Composed model
0.865763374773013,Composed model
0.8659030590864646,Composed model
